DATE,PRCP,TMAX,TMIN,RAIN
41134,0,87,59,FALSE
41135,0,84,57,FALSE
41136,0,88,62,FALSE
41137,0,94,65,FALSE
41138,0,91,61,FALSE
41139,0,71,58,FALSE
41140,0,74,59,FALSE
41141,0,78,59,FALSE
41142,0,74,56,FALSE
41143,0,72,56,FALSE
41144,0,70,57,FALSE
41145,0,72,50,FALSE
41146,0,79,53,FALSE
41147,0,70,54,FALSE
41148,0,75,56,FALSE
41149,0,73,54,FALSE
41150,0,73,56,FALSE
41151,0,73,55,FALSE
41152,0,72,51,FALSE
41153,0,71,51,FALSE
41154,0,70,50,FALSE
41155,0,73,55,FALSE
41156,0,76,52,FALSE
41157,0,79,53,FALSE
41158,0,83,58,FALSE
41159,0,90,56,FALSE
41160,0,77,56,FALSE
41161,0.01,66,57,TRUE
41162,0.01,68,53,TRUE
41163,0,68,48,FALSE
41164,0,72,50,FALSE
41165,0,82,53,FALSE
41166,0,79,52,FALSE
41167,0,72,52,FALSE
41168,0,76,49,FALSE
41169,0,82,53,FALSE
41170,0,82,53,FALSE
41171,0,75,53,FALSE
41172,0,67,50,FALSE
41173,0,61,55,FALSE
41174,0.01,67,53,TRUE
41175,0,67,50,FALSE
41176,0,70,50,FALSE
41177,0,67,52,FALSE
41178,0,67,49,FALSE
41179,0,73,50,FALSE
41180,0,77,54,FALSE
41181,0,69,54,FALSE
41182,0,70,46,FALSE
41183,0,74,48,FALSE
41184,0,64,50,FALSE
41185,0,66,46,FALSE
41186,0,66,47,FALSE
41187,0,71,48,FALSE
41188,0,75,46,FALSE
41189,0,75,46,FALSE
41190,0,70,46,FALSE
41191,0,61,48,FALSE
41192,0,54,47,FALSE
41193,0,57,45,FALSE
41194,0.08,57,48,TRUE
41195,0.19,60,54,TRUE
41196,0.65,64,56,TRUE
41197,0.31,63,52,TRUE
41198,0,61,47,FALSE
41199,0,58,43,FALSE
41200,0.82,64,44,TRUE
41201,0.19,59,49,TRUE
41202,0.02,52,43,TRUE
41203,0.25,53,40,TRUE
41204,0.35,46,38,TRUE
41205,0,52,42,FALSE
41206,0.28,53,43,TRUE
41207,0,53,44,FALSE
41208,0.06,52,45,TRUE
41209,0.91,58,49,TRUE
41210,0.24,58,50,TRUE
41211,0.43,60,50,TRUE
41212,1.36,59,54,TRUE
41213,0.57,60,52,TRUE
41214,0.38,59,51,TRUE
41215,0.22,59,51,TRUE
41216,0.02,60,52,TRUE
41217,0.32,64,55,TRUE
41218,0.03,59,46,TRUE
41219,0.01,55,44,TRUE
41220,0,54,39,FALSE
41221,0,50,34,FALSE
41222,0,48,34,FALSE
41223,0,46,31,FALSE
41224,0.6,48,34,TRUE
41225,0.14,55,43,TRUE
41226,0.21,52,46,TRUE
41227,0.03,52,41,TRUE
41228,0,49,37,FALSE
41229,0.22,49,36,TRUE
41230,0.24,54,43,TRUE
41231,0.31,50,43,TRUE
41232,2.13,56,47,TRUE
41233,0.15,52,45,TRUE
41234,0.44,47,39,TRUE
41235,0,48,37,FALSE
41236,1.26,49,43,TRUE
41237,0,48,39,FALSE
41238,0,47,34,FALSE
41239,0,49,35,FALSE
41240,0,50,35,FALSE
41241,0.11,49,36,TRUE
41242,0.06,55,46,TRUE
41243,1.4,59,46,TRUE
41244,0.16,56,47,TRUE
41245,0.77,47,45,TRUE
41246,0.51,49,45,TRUE
41247,0.56,53,45,TRUE
41248,0.06,48,40,TRUE
41249,0.06,45,43,TRUE
41250,0.04,46,38,TRUE
41251,0,44,38,FALSE
41252,0.06,44,37,TRUE
41253,0.02,45,42,TRUE
41254,0.12,46,42,TRUE
41255,0.32,44,40,TRUE
41256,0.09,45,38,TRUE
41257,0.31,43,34,TRUE
41258,0.21,40,33,TRUE
41259,0.89,44,38,TRUE
41260,0.08,47,35,TRUE
41261,0.13,39,33,TRUE
41262,0.54,47,35,TRUE
41263,0.52,45,33,TRUE
41264,0.07,47,29,TRUE
41265,0.13,47,39,TRUE
41266,0.26,45,38,TRUE
41267,0.01,42,37,TRUE
41268,0.53,42,37,TRUE
41269,0.18,44,38,TRUE
41270,0.16,46,38,TRUE
41271,0,47,39,FALSE
41272,0.06,41,38,TRUE
41273,0,40,32,FALSE
41274,0,38,30,FALSE
41275,0,41,27,FALSE
41276,0,43,30,FALSE
41277,0.16,44,29,TRUE
41278,0.1,50,36,TRUE
41279,0.12,44,40,TRUE
41280,0.08,45,37,TRUE
41281,0.09,50,40,TRUE
41282,0.64,53,42,TRUE
41283,1.51,50,35,TRUE
41284,0.01,38,31,TRUE
41285,0,37,27,FALSE
41286,0,37,25,FALSE
41287,0,36,24,FALSE
41288,0,38,28,FALSE
41289,0,44,31,FALSE
41290,0,43,25,FALSE
41291,0,39,27,FALSE
41292,0,38,30,FALSE
41293,0,34,31,FALSE
41294,0,38,31,FALSE
41295,0,36,29,FALSE
41296,0,38,29,FALSE
41297,0.2,45,36,TRUE
41298,0.23,45,34,TRUE
41299,0.12,51,37,TRUE
41300,0.09,47,39,TRUE
41301,0.07,42,39,TRUE
41302,0.31,43,38,TRUE
41303,0.17,47,41,TRUE
41304,0.14,48,44,TRUE
41305,0.12,49,45,TRUE
41306,0.01,53,41,TRUE
41307,0,43,37,FALSE
41308,0.09,48,37,TRUE
41309,0,51,44,FALSE
41310,0.13,50,44,TRUE
41311,0.04,51,43,TRUE
41312,0.05,49,38,TRUE
41313,0,46,36,FALSE
41314,0.01,47,40,TRUE
41315,0,48,35,FALSE
41316,0.01,47,40,TRUE
41317,0.04,52,45,TRUE
41318,0.09,49,45,TRUE
41319,0.04,49,42,TRUE
41320,0,56,41,FALSE
41321,0,52,39,FALSE
41322,0,49,40,FALSE
41323,0,46,39,FALSE
41324,0,51,35,FALSE
41325,0.06,46,34,TRUE
41326,0.02,44,39,TRUE
41327,0.37,46,39,TRUE
41328,0.01,50,39,TRUE
41329,0,48,41,FALSE
41330,0.09,51,38,TRUE
41331,0.02,48,39,TRUE
41332,0.18,50,40,TRUE
41333,0.32,53,44,TRUE
41334,0.16,59,52,TRUE
41335,0.03,57,41,TRUE
41336,0,52,36,FALSE
41337,0,56,32,FALSE
41338,0,49,43,FALSE
41339,0.47,45,41,TRUE
41340,0.29,54,41,TRUE
41341,0,53,36,FALSE
41342,0,55,34,FALSE
41343,0.03,46,39,TRUE
41344,0.05,51,43,TRUE
41345,0.08,55,50,TRUE
41346,0.09,53,49,TRUE
41347,0.11,53,49,TRUE
41348,0,58,48,FALSE
41349,0.17,51,40,TRUE
41350,0,48,39,FALSE
41351,0,53,39,FALSE
41352,0.46,55,35,TRUE
41353,0.39,52,40,TRUE
41354,0.32,50,36,TRUE
41355,0,49,33,FALSE
41356,0,50,34,FALSE
41357,0,54,33,FALSE
41358,0,62,40,FALSE
41359,0,62,43,FALSE
41360,0.01,56,45,TRUE
41361,0.08,61,47,TRUE
41362,0,65,46,FALSE
41363,0,68,42,FALSE
41364,0,69,44,FALSE
41365,0,63,47,FALSE
41366,0,57,48,FALSE
41367,0,62,46,FALSE
41368,0.33,58,50,TRUE
41369,0.73,57,50,TRUE
41370,0.5,54,45,TRUE
41371,1.54,47,41,TRUE
41372,0.03,56,43,TRUE
41373,0,54,43,FALSE
41374,0.37,59,48,TRUE
41375,0.06,54,44,TRUE
41376,0.38,46,40,TRUE
41377,0.37,51,38,TRUE
41378,0.23,55,40,TRUE
41379,0,57,40,FALSE
41380,0.01,57,38,TRUE
41381,0,59,39,FALSE
41382,0.21,53,44,TRUE
41383,0.81,56,49,TRUE
41384,0,57,47,FALSE
41385,0.13,54,44,TRUE
41386,0,61,41,FALSE
41387,0,64,39,FALSE
41388,0,70,43,FALSE
41389,0,71,44,FALSE
41390,0,69,47,FALSE
41391,0,57,51,FALSE
41392,0.04,59,49,TRUE
41393,0.15,57,44,TRUE
41394,0,55,40,FALSE
41395,0,65,38,FALSE
41396,0,69,44,FALSE
41397,0,71,49,FALSE
41398,0,77,52,FALSE
41399,0,84,53,FALSE
41400,0,87,54,FALSE
41401,0,69,52,FALSE
41402,0,67,52,FALSE
41403,0,73,50,FALSE
41404,0,79,49,FALSE
41405,0,81,54,FALSE
41406,0.26,71,57,TRUE
41407,0.13,66,49,TRUE
41408,0,65,46,FALSE
41409,0.04,63,48,TRUE
41410,0,71,54,FALSE
41411,0.02,63,53,TRUE
41412,0,62,52,FALSE
41413,0,65,51,FALSE
41414,0,67,49,FALSE
41415,0.54,60,47,TRUE
41416,0.54,52,45,TRUE
41417,0.16,54,44,TRUE
41418,0.01,62,48,TRUE
41419,0,64,50,FALSE
41420,0.06,65,51,TRUE
41421,0.38,62,52,TRUE
41422,0.02,63,53,TRUE
41423,0.22,61,49,TRUE
41424,0,62,49,FALSE
41425,0,67,52,FALSE
41426,0,73,54,FALSE
41427,0.04,69,54,TRUE
41428,0,72,52,FALSE
41429,0,79,54,FALSE
41430,0,80,58,FALSE
41431,0,80,54,FALSE
41432,0,71,56,FALSE
41433,0,69,55,FALSE
41434,0,69,52,FALSE
41435,0,71,53,FALSE
41436,0,68,50,FALSE
41437,0.01,69,53,TRUE
41438,0,70,53,FALSE
41439,0,68,54,FALSE
41440,0,78,50,FALSE
41441,0,75,55,FALSE
41442,0,78,57,FALSE
41443,0.01,74,56,TRUE
41444,0,68,55,FALSE
41445,0.12,63,55,TRUE
41446,0.01,69,54,TRUE
41447,0,78,53,FALSE
41448,0.31,72,59,TRUE
41449,0.19,70,57,TRUE
41450,0.39,74,58,TRUE
41451,0.08,72,59,TRUE
41452,0.14,70,62,TRUE
41453,0,87,61,FALSE
41454,0,86,65,FALSE
41455,0,93,63,FALSE
41456,0,89,65,FALSE
41457,0,83,60,FALSE
41458,0,79,62,FALSE
41459,0,71,57,FALSE
41460,0,74,57,FALSE
41461,0,79,56,FALSE
41462,0,75,57,FALSE
41463,0,80,56,FALSE
41464,0,86,59,FALSE
41465,0,72,57,FALSE
41466,0,73,54,FALSE
41467,0,67,56,FALSE
41468,0,79,52,FALSE
41469,0,82,55,FALSE
41470,0,82,58,FALSE
41471,0,88,65,FALSE
41472,0,72,59,FALSE
41473,0,79,57,FALSE
41474,0,82,56,FALSE
41475,0,77,56,FALSE
41476,0,75,55,FALSE
41477,0,79,56,FALSE
41478,0,88,57,FALSE
41479,0,88,58,FALSE
41480,0,88,55,FALSE
41481,0,88,58,FALSE
41482,0,78,55,FALSE
41483,0,70,54,FALSE
41484,0,77,56,FALSE
41485,0,77,56,FALSE
41486,0,71,56,FALSE
41487,0,69,56,FALSE
41488,0.08,63,59,TRUE
41489,0,77,60,FALSE
41490,0,84,59,FALSE
41491,0,86,59,FALSE
41492,0,87,57,FALSE
41493,0,88,57,FALSE
41494,0,83,58,FALSE
41495,0,83,58,FALSE
41496,0.09,78,59,TRUE
41497,0,77,58,FALSE
41498,0,78,61,FALSE
41499,0,82,59,FALSE
41500,0.03,81,59,TRUE
41501,0.07,70,63,TRUE
41502,0,84,61,FALSE
41503,0,78,63,FALSE
41504,0,79,60,FALSE
41505,0,80,60,FALSE
41506,0,78,61,FALSE
41507,0,82,59,FALSE
41508,0,84,59,FALSE
41509,0,77,61,FALSE
41510,0,77,62,FALSE
41511,0.01,72,61,TRUE
41512,0.04,76,61,TRUE
41513,0.05,80,63,TRUE
41514,0.22,80,60,TRUE
41515,0.76,75,65,TRUE
41516,0,79,61,FALSE
41517,0,82,57,FALSE
41518,0,82,60,FALSE
41519,0,82,63,FALSE
41520,0.09,77,62,TRUE
41521,0.01,73,61,TRUE
41522,1.09,68,60,TRUE
41523,0.84,71,61,TRUE
41524,0,74,63,FALSE
41525,0,80,58,FALSE
41526,0,79,57,FALSE
41527,0,80,59,FALSE
41528,0,93,61,FALSE
41529,0,78,59,FALSE
41530,0,66,60,FALSE
41531,0,71,60,FALSE
41532,0.13,66,58,TRUE
41533,0.01,71,59,TRUE
41534,0,64,57,FALSE
41535,0,70,56,FALSE
41536,0,78,50,FALSE
41537,0.14,74,56,TRUE
41538,0,70,56,FALSE
41539,0.53,63,56,TRUE
41540,0.11,61,52,TRUE
41541,0,64,50,FALSE
41542,0.08,61,49,TRUE
41543,0,63,45,FALSE
41544,0.04,57,51,TRUE
41545,1.71,62,53,TRUE
41546,0.66,58,52,TRUE
41547,0.73,57,50,TRUE
41548,0.31,58,48,TRUE
41549,0.21,55,49,TRUE
41550,0.03,58,48,TRUE
41551,0,64,42,FALSE
41552,0,68,47,FALSE
41553,0.16,73,46,TRUE
41554,0.02,61,53,TRUE
41555,0.27,57,46,TRUE
41556,0,59,42,FALSE
41557,0.04,58,47,TRUE
41558,0.36,57,51,TRUE
41559,0.04,58,48,TRUE
41560,0,59,44,FALSE
41561,0,60,39,FALSE
41562,0,60,41,FALSE
41563,0,55,48,FALSE
41564,0,58,48,FALSE
41565,0,55,45,FALSE
41566,0,51,46,FALSE
41567,0,51,46,FALSE
41568,0,53,47,FALSE
41569,0,58,45,FALSE
41570,0,55,43,FALSE
41571,0,50,43,FALSE
41572,0,54,46,FALSE
41573,0,53,47,FALSE
41574,0.07,57,47,TRUE
41575,0,58,45,FALSE
41576,0,56,38,FALSE
41577,0.02,59,42,TRUE
41578,0.01,58,51,TRUE
41579,0.05,64,53,TRUE
41580,0.5,58,47,TRUE
41581,0.02,54,40,TRUE
41582,0,51,39,FALSE
41583,0.1,56,45,TRUE
41584,0.15,55,46,TRUE
41585,1.18,52,50,TRUE
41586,0,56,45,FALSE
41587,0.07,52,41,TRUE
41588,0,52,47,FALSE
41589,0,61,43,FALSE
41590,0.16,60,48,TRUE
41591,0,57,51,FALSE
41592,0.05,52,43,TRUE
41593,0.12,51,45,TRUE
41594,0,50,41,FALSE
41595,0.21,53,45,TRUE
41596,1.03,55,49,TRUE
41597,0.04,56,40,TRUE
41598,0,46,35,FALSE
41599,0,46,31,FALSE
41600,0,49,32,FALSE
41601,0,52,34,FALSE
41602,0,53,33,FALSE
41603,0,54,36,FALSE
41604,0,54,37,FALSE
41605,0,58,42,FALSE
41606,0,53,38,FALSE
41607,0.02,49,41,TRUE
41608,0.09,52,45,TRUE
41609,0.12,56,46,TRUE
41610,0.18,46,35,TRUE
41611,0,41,31,FALSE
41612,0,40,28,FALSE
41613,0,34,23,FALSE
41614,0,34,24,FALSE
41615,0,32,19,FALSE
41616,0,36,20,FALSE
41617,0,34,23,FALSE
41618,0,42,33,FALSE
41619,0,41,29,FALSE
41620,0.27,42,31,TRUE
41621,0.02,49,42,TRUE
41622,0,49,43,FALSE
41623,0.05,53,47,TRUE
41624,0.01,50,40,TRUE
41625,0,47,40,FALSE
41626,0.05,46,36,TRUE
41627,0,41,32,FALSE
41628,0.22,47,33,TRUE
41629,0.22,48,42,TRUE
41630,0.42,51,47,TRUE
41631,0.06,53,43,TRUE
41632,0,47,37,FALSE
41633,0,44,35,FALSE
41634,0,44,33,FALSE
41635,0.01,48,32,TRUE
41636,0,49,38,FALSE
41637,0,45,35,FALSE
41638,0.01,48,40,TRUE
41639,0.02,47,41,TRUE
41640,0,45,38,FALSE
41641,0.16,51,43,TRUE
41642,0.06,48,37,TRUE
41643,0,46,33,FALSE
41644,0,47,31,FALSE
41645,0.01,46,31,TRUE
41646,0.48,47,41,TRUE
41647,0.38,50,45,TRUE
41648,0.23,49,42,TRUE
41649,0.17,55,47,TRUE
41650,0.84,58,45,TRUE
41651,0.06,52,42,TRUE
41652,0,51,50,FALSE
41653,0,52,45,FALSE
41654,0,52,42,FALSE
41655,0,44,40,FALSE
41656,0,42,37,FALSE
41657,0,49,33,FALSE
41658,0,43,38,FALSE
41659,0,50,37,FALSE
41660,0,50,35,FALSE
41661,0.02,49,42,TRUE
41662,0,50,37,FALSE
41663,0,55,34,FALSE
41664,0,54,34,FALSE
41665,0,47,33,FALSE
41666,0,49,35,FALSE
41667,0.35,52,43,TRUE
41668,0.85,52,45,TRUE
41669,0,47,43,FALSE
41670,0.09,46,42,TRUE
41671,0.08,46,37,TRUE
41672,0,48,34,FALSE
41673,0,41,32,FALSE
41674,0,37,28,FALSE
41675,0,31,22,FALSE
41676,0,29,21,FALSE
41677,0,38,23,FALSE
41678,0.2,42,31,TRUE
41679,0.02,39,32,TRUE
41680,0.72,50,36,TRUE
41681,0.67,54,42,TRUE
41682,0.18,54,45,TRUE
41683,0.07,55,46,TRUE
41684,0.37,53,43,TRUE
41685,0.46,52,41,TRUE
41686,1.04,49,39,TRUE
41687,0.57,47,40,TRUE
41688,0.6,48,41,TRUE
41689,0.04,47,39,TRUE
41690,0.12,50,42,TRUE
41691,0.11,44,39,TRUE
41692,0.1,42,37,TRUE
41693,0.24,45,39,TRUE
41694,0.51,44,38,TRUE
41695,0.01,54,39,TRUE
41696,0,57,42,FALSE
41697,0,55,40,FALSE
41698,0,58,40,FALSE
41699,0.02,45,40,TRUE
41700,0.75,52,37,TRUE
41701,0.42,58,48,TRUE
41702,0.65,57,46,TRUE
41703,1.84,60,51,TRUE
41704,0.12,56,50,TRUE
41705,0,60,48,FALSE
41706,1.27,55,44,TRUE
41707,0.17,59,49,TRUE
41708,0.74,54,43,TRUE
41709,0,58,40,FALSE
41710,0,61,38,FALSE
41711,0.02,57,41,TRUE
41712,0.27,58,47,TRUE
41713,0.32,62,40,TRUE
41714,1.09,51,40,TRUE
41715,0.01,50,37,TRUE
41716,0,50,38,FALSE
41717,0.02,52,38,TRUE
41718,0,52,35,FALSE
41719,0,51,37,FALSE
41720,0,52,34,FALSE
41721,0,55,40,FALSE
41722,0,66,37,FALSE
41723,0.16,57,44,TRUE
41724,0.14,52,42,TRUE
41725,0.01,54,44,TRUE
41726,0.87,53,45,TRUE
41727,0.55,53,45,TRUE
41728,0,52,41,FALSE
41729,0,60,36,FALSE
41730,0,58,44,FALSE
41731,0,58,42,FALSE
41732,0.1,56,43,TRUE
41733,0,55,43,FALSE
41734,0.18,53,46,TRUE
41735,0,57,47,FALSE
41736,0,70,49,FALSE
41737,0.18,60,47,TRUE
41738,0,58,44,FALSE
41739,0,59,44,FALSE
41740,0,63,41,FALSE
41741,0,61,46,FALSE
41742,0,69,42,FALSE
41743,0,68,42,FALSE
41744,0.02,58,46,TRUE
41745,0.43,52,48,TRUE
41746,0.73,53,45,TRUE
41747,0,58,42,FALSE
41748,0.54,53,42,TRUE
41749,0,60,42,FALSE
41750,0.2,63,46,TRUE
41751,0.56,54,41,TRUE
41752,0.35,53,43,TRUE
41753,0.49,57,43,TRUE
41754,0,58,42,FALSE
41755,0.13,59,42,TRUE
41756,0.27,52,43,TRUE
41757,0,61,40,FALSE
41758,0,77,49,FALSE
41759,0,82,49,FALSE
41760,0,85,52,FALSE
41761,0,65,51,FALSE
41762,1.31,59,48,TRUE
41763,0.63,58,48,TRUE
41764,0.2,60,49,TRUE
41765,0,62,47,FALSE
41766,0,65,45,FALSE
41767,0.54,57,49,TRUE
41768,0.08,56,45,TRUE
41769,0.02,60,45,TRUE
41770,0,66,47,FALSE
41771,0,76,49,FALSE
41772,0,80,55,FALSE
41773,0,82,56,FALSE
41774,0,80,55,FALSE
41775,0,68,53,FALSE
41776,0,68,53,FALSE
41777,0,68,51,FALSE
41778,0,70,50,FALSE
41779,0,72,50,FALSE
41780,0,68,51,FALSE
41781,0,76,53,FALSE
41782,0.15,68,55,TRUE
41783,0,65,52,FALSE
41784,0.22,59,51,TRUE
41785,0,65,52,FALSE
41786,0,68,50,FALSE
41787,0,66,50,FALSE
41788,0,66,52,FALSE
41789,0,69,48,FALSE
41790,0,74,50,FALSE
41791,0,72,51,FALSE
41792,0,74,52,FALSE
41793,0,65,52,FALSE
41794,0,67,50,FALSE
41795,0,72,50,FALSE
41796,0,77,51,FALSE
41797,0,76,56,FALSE
41798,0,74,54,FALSE
41799,0,70,56,FALSE
41800,0,68,54,FALSE
41801,0,75,52,FALSE
41802,0.07,71,54,TRUE
41803,0.25,60,52,TRUE
41804,0,64,53,FALSE
41805,0.02,65,50,TRUE
41806,0.14,64,48,TRUE
41807,0.05,64,50,TRUE
41808,0,66,52,FALSE
41809,0.03,78,53,TRUE
41810,0.01,68,50,TRUE
41811,0,72,51,FALSE
41812,0,77,52,FALSE
41813,0,77,56,FALSE
41814,0,76,58,FALSE
41815,0,79,57,FALSE
41816,0,70,58,FALSE
41817,0.07,70,57,TRUE
41818,0.09,68,56,TRUE
41819,0,69,55,FALSE
41820,0,78,55,FALSE
41821,0,94,60,FALSE
41822,0,81,58,FALSE
41823,0,71,57,FALSE
41824,0,75,57,FALSE
41825,0,76,56,FALSE
41826,0,84,59,FALSE
41827,0,81,64,FALSE
41828,0,86,60,FALSE
41829,0,80,57,FALSE
41830,0,84,55,FALSE
41831,0,88,59,FALSE
41832,0,90,62,FALSE
41833,0,85,59,FALSE
41834,0,82,59,FALSE
41835,0,88,57,FALSE
41836,0,88,58,FALSE
41837,0,80,57,FALSE
41838,0,75,53,FALSE
41839,0,78,59,FALSE
41840,0,67,58,FALSE
41841,0,75,56,FALSE
41842,0.01,70,56,TRUE
41843,0.76,66,56,TRUE
41844,0,69,55,FALSE
41845,0,73,54,FALSE
